symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
DRD2	0.7322692818387806	0.7370612556714713	No data	0.9995403200348645	No data	0.9324779037376452	No data	No data	dopamine receptor D2
DRD3	0.7130344060546894	0.607930797611621	No data	0.9980305420378615	No data	0.8239159961484064	No data	0.365197539698581	dopamine receptor D3
ESR2	0.677716634734402	0.6685436202582655	No data	0.9454084886164152	No data	0.10116041989147426	No data	No data	estrogen receptor 2
GRIN2A	0.6764709036402874	0.5445737146066335	No data	0.9269216918324061	No data	0.23876332373304998	No data	0.5075310263860617	glutamate ionotropic receptor NMDA type subunit 2A
RTN4R	0.6658928237696887	0.856840549716722	No data	No data	No data	0.8434429351082912	No data	0.44394146495588627	reticulon 4 receptor
HTR1A	0.6332376181101368	No data	No data	0.9961292155128456	No data	0.7110477483185698	No data	0.44757878246586297	5-hydroxytryptamine receptor 1A
DRD4	0.629947536963893	No data	No data	0.9977977528971747	No data	0.7683622307600618	No data	No data	dopamine receptor D4
HTR2A	0.6241652395898039	No data	No data	0.9995222437931677	No data	0.2780519123440746	No data	0.42006498287968996	5-hydroxytryptamine receptor 2A
SLC6A4	0.621212767239177	No data	No data	0.9702216525824344	No data	0.661944453781207	No data	0.7383260432610037	solute carrier family 6 member 4
HTR2C	0.6190498896224493	No data	No data	0.9993029577441438	No data	0.25284177301698657	No data	0.2673679647895909	5-hydroxytryptamine receptor 2C
SLC6A3	0.6144172693874808	No data	No data	0.9527665470492823	No data	0.7229510037953887	No data	0.8367525724393152	solute carrier family 6 member 3
HTR1B	0.6139921310060643	No data	No data	0.9690026137515824	No data	0.4530013642724715	No data	0.618022448851974	5-hydroxytryptamine receptor 1B
SHANK3	0.6061674454261604	0.7248551828441101	No data	No data	No data	0.18377350962255323	No data	0.7216630527314707	SH3 and multiple ankyrin repeat domains 3
HTR4	0.5987057808452129	No data	No data	0.9690026137515824	No data	0.10635058317112583	No data	0.26919175718242583	5-hydroxytryptamine receptor 4
SLC6A2	0.5980425565531221	No data	No data	0.9568914496607364	No data	0.41579009711927306	No data	0.2724137904097674	solute carrier family 6 member 2
HTR6	0.5948475544316282	No data	No data	0.9692469478028526	No data	0.18464221234589706	No data	No data	5-hydroxytryptamine receptor 6
NDUFAF2	0.5945567256480174	0.30065938106495244	No data	0.9028358218884013	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase complex assembly factor 2
HTR5A	0.5942298282968469	No data	No data	0.9690026137515824	No data	0.16193602264223902	0.016358892776968673	No data	5-hydroxytryptamine receptor 5A
HTR3A	0.5942066313023024	No data	No data	0.9717146642421067	No data	0.11420248595162309	No data	No data	5-hydroxytryptamine receptor 3A
HTR3B	0.5937698401061823	No data	No data	0.9692469478028526	No data	0.14918704772255637	No data	No data	5-hydroxytryptamine receptor 3B
GRIN2B	0.5934724517671934	No data	No data	0.9264486878979311	No data	0.8007902371450728	No data	0.4378013639000089	glutamate ionotropic receptor NMDA type subunit 2B
HTR7	0.5917141372574538	No data	No data	0.9690026137515824	No data	0.08644422694266529	No data	No data	5-hydroxytryptamine receptor 7
GRIN1	0.5916743598042975	No data	No data	0.9264486878979311	No data	0.6892566649077717	No data	0.5556542879420666	glutamate ionotropic receptor NMDA type subunit 1
